segment,variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_frames,translation_median_mm,translation_p95_mm
15,EgoAnchor,0.4,0.5,0.45,47,99.07005773466251,114.92398500377399
15,EgoAnchor,0.5,0.6,0.55,12,109.80534093064603,115.19852424735569
16,Arrival-Hold,0.2,0.3,0.25,25,31.90242699255738,57.122700058548766
16,Arrival-Hold,0.3,0.4,0.35,21,45.7615610956331,75.85144033790753
16,Arrival-Hold,0.4,0.5,0.45,20,61.06412348201939,100.69841006734954
16,Arrival-Hold,0.5,0.6,0.55,39,79.67947759171292,98.60573448065912
16,Capture-Hold,0.2,0.3,0.25,25,45.20271588064837,79.48218853683814
16,Capture-Hold,0.3,0.4,0.35,21,64.01947034837688,93.45449871391051
16,Capture-Hold,0.4,0.5,0.45,20,71.70697079301357,120.76975013842757
16,Capture-Hold,0.5,0.6,0.55,39,94.06710583750122,117.46975847190566
16,One-Euro Anchor,0.2,0.3,0.25,25,90.02644486502341,134.50363133072153
16,One-Euro Anchor,0.3,0.4,0.35,21,114.02934509224505,153.36826684272773
16,One-Euro Anchor,0.4,0.5,0.45,20,114.58296335183769,178.30081766384524
16,One-Euro Anchor,0.5,0.6,0.55,39,131.86219781560615,166.90856706991644
16,EgoAnchor,0.2,0.3,0.25,25,66.03303906227495,100.54041004398404
16,EgoAnchor,0.3,0.4,0.35,21,77.90578077977223,111.86696857519344
16,EgoAnchor,0.4,0.5,0.45,20,94.83792760177425,126.66503217144567
16,EgoAnchor,0.5,0.6,0.55,39,125.6843465751789,137.39428784676045
17,Arrival-Hold,0.1,0.2,0.15000000000000002,22,22.15281700210069,35.171777464519884
17,Arrival-Hold,0.2,0.3,0.25,64,44.50627213635971,63.82132493217613
17,Arrival-Hold,0.3,0.4,0.35,40,46.28776086826609,59.537147912595536
17,Capture-Hold,0.1,0.2,0.15000000000000002,22,22.876663172644726,45.364709071779224
17,Capture-Hold,0.2,0.3,0.25,64,56.077697741991145,75.15470808259899
17,Capture-Hold,0.3,0.4,0.35,40,57.0418395380341,69.93608200250566
17,One-Euro Anchor,0.1,0.2,0.15000000000000002,22,38.90043655858337,80.12759740612834
17,One-Euro Anchor,0.2,0.3,0.25,64,86.60955037183115,106.01909425801952
17,One-Euro Anchor,0.3,0.4,0.35,40,80.46039056857839,101.45830612565915
17,EgoAnchor,0.1,0.2,0.15000000000000002,22,25.286316594485115,67.78266209912518
17,EgoAnchor,0.2,0.3,0.25,64,74.11597908491092,81.07306464965849
17,EgoAnchor,0.3,0.4,0.35,40,72.07480377571687,80.77735214495407
